[15-Aug-2016 06:28:40 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/routes.php on line 20
[15-Aug-2016 06:34:18 UTC] PHP   1. {main}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:0
[15-Aug-2016 06:34:18 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:54
[15-Aug-2016 06:34:18 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[15-Aug-2016 06:34:18 UTC] PHP   4. Illuminate\Foundation\Http\Kernel->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:127
[15-Aug-2016 06:34:18 UTC] PHP   5. Illuminate\Foundation\Application->bootstrapWith() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:232
[15-Aug-2016 06:34:18 UTC] PHP   6. Illuminate\Foundation\Bootstrap\BootProviders->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203
[15-Aug-2016 06:34:18 UTC] PHP   7. Illuminate\Foundation\Application->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17
[15-Aug-2016 06:34:18 UTC] PHP   8. array_walk() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:34:18 UTC] PHP   9. Illuminate\Foundation\Application->Illuminate\Foundation\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:34:18 UTC] PHP  10. Illuminate\Foundation\Application->bootProvider() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:740
[15-Aug-2016 06:34:18 UTC] PHP  11. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:757
[15-Aug-2016 06:34:18 UTC] PHP  12. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:18 UTC] PHP  13. App\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:18 UTC] PHP  14. Illuminate\Foundation\Support\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:29
[15-Aug-2016 06:34:18 UTC] PHP  15. Illuminate\Foundation\Support\Providers\RouteServiceProvider->loadRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:31
[15-Aug-2016 06:34:18 UTC] PHP  16. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:72
[15-Aug-2016 06:34:18 UTC] PHP  17. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:18 UTC] PHP  18. App\Providers\RouteServiceProvider->map() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:18 UTC] PHP  19. App\Providers\RouteServiceProvider->mapWebRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:40
[15-Aug-2016 06:34:18 UTC] PHP  20. Illuminate\Routing\Router->group() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:59
[15-Aug-2016 06:34:18 UTC] PHP  21. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:34:18 UTC] PHP  22. App\Providers\RouteServiceProvider->App\Providers\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:34:20 UTC] PHP Parse error:  syntax error, unexpected ':' in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/routes.php on line 14
[15-Aug-2016 06:34:20 UTC] PHP Stack trace:
[15-Aug-2016 06:34:20 UTC] PHP   1. {main}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:0
[15-Aug-2016 06:34:20 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:54
[15-Aug-2016 06:34:20 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[15-Aug-2016 06:34:20 UTC] PHP   4. Illuminate\Foundation\Http\Kernel->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:127
[15-Aug-2016 06:34:20 UTC] PHP   5. Illuminate\Foundation\Application->bootstrapWith() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:232
[15-Aug-2016 06:34:20 UTC] PHP   6. Illuminate\Foundation\Bootstrap\BootProviders->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203
[15-Aug-2016 06:34:20 UTC] PHP   7. Illuminate\Foundation\Application->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17
[15-Aug-2016 06:34:20 UTC] PHP   8. array_walk() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:34:20 UTC] PHP   9. Illuminate\Foundation\Application->Illuminate\Foundation\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:34:20 UTC] PHP  10. Illuminate\Foundation\Application->bootProvider() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:740
[15-Aug-2016 06:34:20 UTC] PHP  11. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:757
[15-Aug-2016 06:34:20 UTC] PHP  12. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:20 UTC] PHP  13. App\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:20 UTC] PHP  14. Illuminate\Foundation\Support\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:29
[15-Aug-2016 06:34:20 UTC] PHP  15. Illuminate\Foundation\Support\Providers\RouteServiceProvider->loadRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:31
[15-Aug-2016 06:34:20 UTC] PHP  16. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:72
[15-Aug-2016 06:34:20 UTC] PHP  17. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:20 UTC] PHP  18. App\Providers\RouteServiceProvider->map() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:20 UTC] PHP  19. App\Providers\RouteServiceProvider->mapWebRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:40
[15-Aug-2016 06:34:20 UTC] PHP  20. Illuminate\Routing\Router->group() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:59
[15-Aug-2016 06:34:20 UTC] PHP  21. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:34:20 UTC] PHP  22. App\Providers\RouteServiceProvider->App\Providers\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:34:28 UTC] PHP Parse error:  syntax error, unexpected ':' in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/routes.php on line 14
[15-Aug-2016 06:34:28 UTC] PHP Stack trace:
[15-Aug-2016 06:34:28 UTC] PHP   1. {main}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:0
[15-Aug-2016 06:34:28 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:54
[15-Aug-2016 06:34:28 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[15-Aug-2016 06:34:28 UTC] PHP   4. Illuminate\Foundation\Http\Kernel->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:127
[15-Aug-2016 06:34:28 UTC] PHP   5. Illuminate\Foundation\Application->bootstrapWith() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:232
[15-Aug-2016 06:34:28 UTC] PHP   6. Illuminate\Foundation\Bootstrap\BootProviders->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203
[15-Aug-2016 06:34:28 UTC] PHP   7. Illuminate\Foundation\Application->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17
[15-Aug-2016 06:34:28 UTC] PHP   8. array_walk() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:34:28 UTC] PHP   9. Illuminate\Foundation\Application->Illuminate\Foundation\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:34:28 UTC] PHP  10. Illuminate\Foundation\Application->bootProvider() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:740
[15-Aug-2016 06:34:28 UTC] PHP  11. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:757
[15-Aug-2016 06:34:28 UTC] PHP  12. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:28 UTC] PHP  13. App\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:28 UTC] PHP  14. Illuminate\Foundation\Support\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:29
[15-Aug-2016 06:34:28 UTC] PHP  15. Illuminate\Foundation\Support\Providers\RouteServiceProvider->loadRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:31
[15-Aug-2016 06:34:28 UTC] PHP  16. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:72
[15-Aug-2016 06:34:28 UTC] PHP  17. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:28 UTC] PHP  18. App\Providers\RouteServiceProvider->map() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:34:28 UTC] PHP  19. App\Providers\RouteServiceProvider->mapWebRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:40
[15-Aug-2016 06:34:28 UTC] PHP  20. Illuminate\Routing\Router->group() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:59
[15-Aug-2016 06:34:28 UTC] PHP  21. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:34:28 UTC] PHP  22. App\Providers\RouteServiceProvider->App\Providers\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:46:16 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/routes.php on line 18
[15-Aug-2016 06:46:16 UTC] PHP Stack trace:
[15-Aug-2016 06:46:16 UTC] PHP   1. {main}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:0
[15-Aug-2016 06:46:16 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:54
[15-Aug-2016 06:46:16 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[15-Aug-2016 06:46:16 UTC] PHP   4. Illuminate\Foundation\Http\Kernel->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:127
[15-Aug-2016 06:46:16 UTC] PHP   5. Illuminate\Foundation\Application->bootstrapWith() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:232
[15-Aug-2016 06:46:16 UTC] PHP   6. Illuminate\Foundation\Bootstrap\BootProviders->bootstrap() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:203
[15-Aug-2016 06:46:16 UTC] PHP   7. Illuminate\Foundation\Application->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/BootProviders.php:17
[15-Aug-2016 06:46:16 UTC] PHP   8. array_walk() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:46:16 UTC] PHP   9. Illuminate\Foundation\Application->Illuminate\Foundation\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:741
[15-Aug-2016 06:46:16 UTC] PHP  10. Illuminate\Foundation\Application->bootProvider() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:740
[15-Aug-2016 06:46:16 UTC] PHP  11. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Application.php:757
[15-Aug-2016 06:46:16 UTC] PHP  12. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:46:16 UTC] PHP  13. App\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:46:16 UTC] PHP  14. Illuminate\Foundation\Support\Providers\RouteServiceProvider->boot() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:29
[15-Aug-2016 06:46:16 UTC] PHP  15. Illuminate\Foundation\Support\Providers\RouteServiceProvider->loadRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:31
[15-Aug-2016 06:46:16 UTC] PHP  16. Illuminate\Container\Container->call() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Support/Providers/RouteServiceProvider.php:72
[15-Aug-2016 06:46:16 UTC] PHP  17. call_user_func_array:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:46:16 UTC] PHP  18. App\Providers\RouteServiceProvider->map() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Container/Container.php:507
[15-Aug-2016 06:46:16 UTC] PHP  19. App\Providers\RouteServiceProvider->mapWebRoutes() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:40
[15-Aug-2016 06:46:16 UTC] PHP  20. Illuminate\Routing\Router->group() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Providers/RouteServiceProvider.php:59
[15-Aug-2016 06:46:16 UTC] PHP  21. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:46:16 UTC] PHP  22. App\Providers\RouteServiceProvider->App\Providers\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Routing/Router.php:398
[15-Aug-2016 06:47:43 UTC] PHP Fatal error:  Class 'App\Http\Middleware\Session' not found in /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/app/Http/Middleware/Locale.php on line 23
[15-Aug-2016 06:47:43 UTC] PHP Stack trace:
[15-Aug-2016 06:47:43 UTC] PHP   1. {main}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:0
[15-Aug-2016 06:47:43 UTC] PHP   2. Illuminate\Foundation\Http\Kernel->handle() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/public/index.php:54
[15-Aug-2016 06:47:43 UTC] PHP   3. Illuminate\Foundation\Http\Kernel->sendRequestThroughRouter() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99
[15-Aug-2016 06:47:43 UTC] PHP   4. Illuminate\Pipeline\Pipeline->then() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132
[15-Aug-2016 06:47:43 UTC] PHP   5. call_user_func:{/home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[15-Aug-2016 06:47:43 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/lessons/laravel/beginner/15-localization/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
